society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
independent,15.5,sector 43,28233.0,5,6,3,3.0,Moderately Old,house,5490.0,1,1,1,1,0,0,76,"28.4629° N, 77.0772° E",28.4629,77.0772
sare green parc phase 3,0.7,sector 92,5279.0,3,2,2,4.0,Relatively New,flat,1325.0,0,0,0,0,0,0,56,"28.4079° N, 76.9153° E",28.4079,76.9153
emaar gurgaon greens,1.6,sector 102,9696.0,3,3,3,8.0,Relatively New,flat,1315.0,0,0,0,0,0,0,46,"28.4750° N, 76.9715° E",28.475,76.9715
emaar mgf the palm drive,3.98,sector 66,18090.0,3,4,3+,2.0,Moderately Old,flat,2200.11,0,1,0,0,0,2,123,"28.3925° N, 77.0541° E",28.3925,77.0541
ireo the corridors,1.4,sector 67a,9433.0,2,2,2,8.0,Relatively New,flat,1149.0,1,0,0,0,1,0,90,"28.3960° N, 77.0372° E",28.396,77.0372
4s aradhya homes,1.83,sector 67a,6778.0,4,4,2,4.0,New Property,house,2700.0,0,0,0,1,0,2,145,"28.3960° N, 77.0372° E",28.396,77.0372
ild greens,0.78,sector 37c,5714.0,2,2,3,1.0,Moderately Old,flat,1068.1,0,0,0,0,0,2,103,"28.4515° N, 76.9882° E",28.4515,76.9882
m3m soulitude,1.25,sector 89,8784.0,3,3,3,3.0,New Property,flat,1288.0,1,0,0,0,1,0,61,"28.4253° N, 76.9439° E",28.4253,76.9439
not applicable,0.75,sector 4,11719.0,2,4,3,2.0,Moderately Old,house,640.0,0,0,0,0,0,0,0,"28.4738° N, 77.0107° E",28.4738,77.0107
pareena coban residences,1.13,sector 99a,5658.0,3,5,3,5.0,Relatively New,flat,1790.0,0,1,0,0,1,0,49,"28.4561° N, 76.9542° E",28.4561,76.9542
malibu towne,8.81,sector 47,27191.0,8,6,3+,3.0,Moderately Old,house,3240.0,1,1,0,0,1,2,27,"28.4276° N, 77.0492° E",28.4276,77.0492
independent,1.16,sector 7,11694.0,2,4,2,3.0,Moderately Old,house,1102.0,0,0,0,0,1,0,39,"28.4644° N, 77.0143° E",28.4644,77.0143
vatika independent floors,0.67,sector 82,5826.0,2,2,3,2.0,Moderately Old,flat,1150.0,0,0,0,0,0,0,53,"28.3935° N, 76.9600° E",28.3935,76.96
tata gurgaon gateway,2.45,sector 113,10786.0,3,3,3,8.0,Relatively New,flat,2014.0,0,0,0,0,0,0,110,"28.5287° N, 77.0233° E",28.5287,77.0233
dlf new town heights,1.65,sector 91,6345.0,4,4,3+,11.0,Moderately Old,flat,2139.0,0,1,0,0,0,0,72,"28.4014° N, 76.9225° E",28.4014,76.9225
sukhshanti apartment,1.7,sector 56,7727.0,3,3,3,4.0,Moderately Old,flat,2200.0,1,0,0,0,0,0,49,"28.4245° N, 77.0991° E",28.4245,77.0991
valley view estate,1.5,gwal pahari,8278.0,4,4,3+,9.0,Old Property,flat,2013.0,1,1,0,0,1,0,135,"28.4484° N, 77.0210° E",28.4484,77.021
signature global solera,0.5,sector 107,4761.0,3,2,2,5.0,Relatively New,flat,850.0,0,0,0,0,1,0,35,"28.5052° N, 76.9729° E",28.5052,76.9729
shapoorji pallonji joyville gurugram,1.76,sector 102,10224.0,3,3,3,1.0,Relatively New,flat,1531.0,0,0,0,0,0,0,100,"28.4750° N, 76.9715° E",28.475,76.9715
parsvnath green ville,1.86,sector 48,7654.0,3,3,3+,6.0,Moderately Old,flat,2199.0,0,1,0,0,0,2,94,"28.4177° N, 77.0359° E",28.4177,77.0359
unitech fresco,1.14,sector 50,8532.0,2,2,2,19.0,Moderately Old,flat,1330.0,0,0,0,0,1,1,174,"28.4178° N, 77.0628° E",28.4178,77.0628
ss the leaf,2.2,sector 85,11178.0,4,5,3+,4.0,Relatively New,flat,2390.0,0,1,0,1,0,0,174,"28.4042° N, 76.9513° E",28.4042,76.9513
signature global solera 2,0.37,sector 107,6680.0,2,2,2,9.0,New Property,flat,615.0,0,0,0,0,0,0,23,"28.5052° N, 76.9729° E",28.5052,76.9729
orchid petals,2.55,sector 49,12318.0,3,4,3,8.0,Relatively New,flat,2060.0,1,0,0,0,0,2,49,"28.4121° N, 77.0480° E",28.4121,77.048
laxmi pareena,0.3,sector 99a,6666.0,2,1,0,12.0,New Property,flat,500.0,0,0,0,0,0,0,0,"28.4561° N, 76.9542° E",28.4561,76.9542
bptp terra,1.45,sector 37d,8006.0,3,3,3,8.0,Relatively New,flat,1711.0,0,0,0,0,0,0,149,"28.4478° N, 76.9703° E",28.4478,76.9703
sare homes,0.5,sector 92,4237.0,3,3,2,1.0,Relatively New,flat,1068.0,0,0,0,0,0,0,26,"28.4079° N, 76.9153° E",28.4079,76.9153
mapsko mount ville,1.55,sector 79,8539.0,3,4,3,11.0,Relatively New,flat,1416.0,0,1,0,0,0,2,152,"28.3624° N, 76.9787° E",28.3624,76.9787
independent,19.5,sector 2,27083.0,8,9,3+,2.0,New Property,house,7200.0,1,1,0,1,0,0,122,"28.5095° N, 77.0320° E",28.5095,77.032
raheja revanta,4.75,sector 78,16885.0,3,3,2,31.0,Under Construction,flat,2813.0,0,1,0,0,0,0,100,"28.3733° N, 76.9729° E",28.3733,76.9729
