society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,property_type
independent,15.5,sector 43,28233.0,5490.0,Plot area 610(510.04 sq.m.),5,6,3,"pooja room,study room,servant room,store room",3,East,5 to 10 Year Old,"['Iffco chowk metro station', 'Huda city centre metro station', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Rbs ATM', 'Icici bank ATM', 'Axis bank ATM', 'Punjab national bank ATM', 'Max Hospital', 'Sitaram Bhartia', 'Dr. Kutbuddin Akbary', 'Umkal Hospital', 'Dr. Naval Mendiratta', 'Sidhesh Hospital Gurgaon', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Centre For Sight Gurgaon Sector 29', 'Chikitsa', 'Guardian Pharmacy', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Naveidyam', 'Pizza Hut', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'The Chicken Boat', 'Starbucks', 'Blue Tokai Coffee Roasters', 'Dighent cafe', 'Balaji Vegetarian Paradise', 'Fat', 'Nowhere Brewpub and cafe', 'Barbecue Grill', 'Roots', 'PWO house', 'MoB Ministory of Beer', 'Park Baluchi', 'Beer & Whisky Bar', 'Bikanervala', 'Gola Sizzles', 'The Oriental Bloom Chinese and Thai', 'Gravity Space Bar', 'Zura', 'Black Mambaa', 'Stones2milestones', 'Bahrisons library', 'Ncr library']",[],"['Private Garden / Terrace', 'Water purifier', 'False Ceiling Lighting', 'Water Storage', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",house
trisara our homes 3,0.38,sohna road,6312.0,602.03,Built Up area: 602 (55.93 sq.m.),2,2,2,not availaible,1,,undefined,"['Metro Station', 'Gyanchand Market', 'Rajiv Chowk', 'KMP Expressway', 'Govt.Sr.Sec School(boys)', 'Jindal College', 'Kidzee', 'Vishvakarma Mandir', 'Mamta Hospital', 'Fortis', 'IGI T3', 'Oriental Bank of Commerce', 'Rajiv Gandhi Park']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,flat
sare green parc phase 3,0.7,sector 92,5279.0,1326.01,Super Built up area 1326(123.19 sq.m.)Built Up area: 1325 sq.ft. (123.1 sq.m.)Carpet area: 1320 sq.ft. (122.63 sq.m.),3,2,2,not availaible,4,,1 to 5 Year Old,"['Huda Metro Station', 'Sector Road', 'Delhi-Jaipur Expressway', 'Management Development Institute', 'Ajanta Public School', 'The NorthCap University', 'Fortis Memorial Research Institute', 'Indira Gandhi Intl Airport', 'Signature Towers', 'Crowne Plaza Gurgaon', 'Kingdom of Dreams']","['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '2 Geyser', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Club house / Community Center', 'Rain Water Harvesting']",flat
emaar gurgaon greens,1.6,sector 102,9696.0,1650.17,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,not availaible,8,,1 to 5 Year Old,"['JMS Marine Square Mall', 'Dwarka Expressway', 'Basai Road', 'Prime Scholars Int. School', 'DPG Institute of Technology', 'Vibrant Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'SkyJumper Trampoline Park', 'Ramgarh Farms & Resort']",[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",flat
emaar mgf the palm drive,3.98,sector 66,18090.0,2200.11,Super Built up area 2200(204.39 sq.m.),3,4,3+,servant room,2,South-East,5 to 10 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 248A', 'Hasanpur', 'Ashoka International School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi Gurgaon', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['6 Wardrobe', '5 Fan', '1 Exhaust Fan', '4 Geyser', '15 Light', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",flat
ireo the corridors,1.4,sector 67a,9433.0,1484.15,Super Built up area 1484(137.87 sq.m.)Carpet area: 860 sq.ft. (79.9 sq.m.),2,2,2,"study room,others",8,North,1 to 5 Year Old,"['Huda Metro Station (Gurugram)', 'Paras Trinity Mall', 'Southern Peripheral Road', 'Lovely Public School', 'KIIT College of Engineering', 'Indira Gandhi International Airport', 'AIPL Business Centre', 'Lemon Tree Hotel, Sohna Road', 'Radisson Hotel', 'De Adventure Park', 'Teri Golf Course', 'PVR Drive in Theatre']",[],"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Park', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting']",flat
4s aradhya homes,1.83,sector 67a,6778.0,2700.0,Plot area 300(250.84 sq.m.),4,4,2,pooja room,4,East,0 to 1 Year Old,"['Airia Mall', 'Sohna Road', 'Southern Peripheral Road', 'Golf Course Ext Road', 'Vega Schools Sector 48', 'KIIT College of Engineering', 'Cloudnine Hospital Sector 47', 'Indira Gandhi International Airport', 'Lemon Tree Hotel, Sohna Road', 'De Adventure Park', 'PVR Drive In Theatre']","['3 Wardrobe', '6 Fan', '1 Stove', '1 Microwave', '8 Light', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",house
ild greens,0.78,sector 37c,5714.0,1365.07,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,not availaible,1,North,5 to 10 Year Old,"['The Esplanade Mall', 'Gurgaon Road', 'Delhi Jaipur Expressway', 'Green Field Public School', 'Sunrise University', 'K.D. Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'infinity Business Park']","['2 Wardrobe', '3 Fan', '1 Exhaust Fan', '1 Geyser', '10 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",flat
m3m soulitude,1.25,sector 89,8784.0,1423.04,Super Built up area 1423(132.2 sq.m.),3,3,3,"study room,others",3,East,Within 6 months,"['Vatika Town Square-INXT', 'Sector 86 Road', 'Dwarka Expy', 'Delh-Ajmer Expy', 'Euro International School', 'Gurugram University', 'Genesis Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']",,,flat
not applicable,0.75,sector 4,11718.0,640.0,Plot area 640(59.46 sq.m.),5,4,3,not available,2,,5 to 10 Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Prateek Nursing Home And Polyclinic', 'Shree Krishna Hospital Gurgaon', 'Kr Dental Hub', 'Dr. Hitesh Dawar', 'Sneh Hospital Gurgaon', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhardwaj Hospital', 'Esic Hospital Gurugram', 'Dr. Ashok Jain', 'Dr. Sindhu Clinic', 'Gurgaon Eye Centre', 'Pearl Dental Clinic', 'Dr. Mittal Clinic', 'Jiya Clinic', 'R K Hospital Gurgaon', 'Yashroop Medical Centre', ""Dr. Anurag's Child Care Clinic"", 'Taneja Hospital', 'Aryan Hospital', 'Chirag Hospital Pvt. Ltd', 'Geeta Nursing Home Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Sparsh Hospital Gurgaon', 'Ravi Clinic and Health Care Centre', 'Chiranjiv Hospital', 'Dr. Madan Clinic', 'Bhatnagar Maternity and Nursing Home', 'Dr. Agya Ram Sharma Clinic', 'Dev Man Kathuria Clinic', 'GH Gurgaon', 'Swastik Maternity and Medical Centre', 'Bindal Clinic', 'Dr. Sarvejeet Singh', 'M.S Hospital', 'My Care Clinic', 'Satyam Hospital Gurgaon', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']",[],,house
