society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
independent,15.5,sector 43,28233.0,5,6,3,3.0,Moderately Old,house,5490.0,1,1,1,1,0,0,76
trisara our homes 3,0.38,sohna road,6312.0,2,2,2,1.0,Relatively New,flat,602.0,0,0,0,0,0,0,0
sare green parc phase 3,0.7,sector 92,5279.0,3,2,2,4.0,Relatively New,flat,1325.0,0,0,0,0,0,0,56
emaar gurgaon greens,1.6,sector 102,9696.0,3,3,3,8.0,Relatively New,flat,1315.0,0,0,0,0,0,0,46
emaar mgf the palm drive,3.98,sector 66,18090.0,3,4,3+,2.0,Moderately Old,flat,2200.11,0,1,0,0,0,2,123
ireo the corridors,1.4,sector 67a,9433.0,2,2,2,8.0,Relatively New,flat,1149.0,1,0,0,0,1,0,90
4s aradhya homes,1.83,sector 67a,6778.0,4,4,2,4.0,New Property,house,2700.0,0,0,0,1,0,2,145
ild greens,0.78,sector 37c,5714.0,2,2,3,1.0,Moderately Old,flat,1068.1,0,0,0,0,0,2,103
m3m soulitude,1.25,sector 89,8784.0,3,3,3,3.0,New Property,flat,1288.0,1,0,0,0,1,0,61
not applicable,0.75,sector 4,11719.0,2,4,3,2.0,Moderately Old,house,640.0,0,0,0,0,0,0,0
pareena coban residences,1.13,sector 99a,5658.0,3,5,3,5.0,Relatively New,flat,1790.0,0,1,0,0,1,0,49
malibu towne,8.81,sector 47,27191.0,8,6,3+,3.0,Moderately Old,house,3240.0,1,1,0,0,1,2,27
independent,1.16,sector 7,11694.0,2,4,2,3.0,Moderately Old,house,1102.0,0,0,0,0,1,0,39
gls arawali homes,0.35,sohna road,7000.0,2,2,2,5.0,Relatively New,flat,556.0,0,0,0,0,0,0,30
vatika independent floors,0.67,sector 82,5826.0,2,2,3,2.0,Moderately Old,flat,1150.0,0,0,0,0,0,0,53
tata gurgaon gateway,2.45,sector 113,10786.0,3,3,3,8.0,Relatively New,flat,2014.0,0,0,0,0,0,0,110
dlf new town heights,1.65,sector 91,6345.0,4,4,3+,11.0,Moderately Old,flat,2139.0,0,1,0,0,0,0,72
sukhshanti apartment,1.7,sector 56,7727.0,3,3,3,4.0,Moderately Old,flat,2200.0,1,0,0,0,0,0,49
breez global hill view,0.32,sohna road,5776.0,2,2,2,19.0,Relatively New,flat,616.0,0,0,0,0,0,2,21
valley view estate,1.5,gwal pahari,8278.0,4,4,3+,9.0,Old Property,flat,2013.0,1,1,0,0,1,0,135
signature global solera,0.5,sector 107,4761.0,3,2,2,5.0,Relatively New,flat,850.0,0,0,0,0,1,0,35
shapoorji pallonji joyville gurugram,1.76,sector 102,10224.0,3,3,3,1.0,Relatively New,flat,1531.0,0,0,0,0,0,0,100
parsvnath green ville,1.86,sector 48,7654.0,3,3,3+,6.0,Moderately Old,flat,2199.0,0,1,0,0,0,2,94
unitech fresco,1.14,sector 50,8532.0,2,2,2,19.0,Moderately Old,flat,1330.0,0,0,0,0,1,1,174
ss the leaf,2.2,sector 85,11178.0,4,5,3+,4.0,Relatively New,flat,2390.0,0,1,0,1,0,0,174
signature global solera 2,0.37,sector 107,6680.0,2,2,2,9.0,New Property,flat,615.0,0,0,0,0,0,0,23
orchid petals,2.55,sector 49,12318.0,3,4,3,8.0,Relatively New,flat,2060.0,1,0,0,0,0,2,49
laxmi pareena,0.3,sector 99a,6666.0,2,1,0,12.0,New Property,flat,500.0,0,0,0,0,0,0,0
bptp terra,1.45,sector 37d,8006.0,3,3,3,8.0,Relatively New,flat,1711.0,0,0,0,0,0,0,149
aipl zen residences,1.4,sector 70a,11094.0,2,2,2,16.0,Relatively New,flat,1262.0,0,0,0,0,0,0,0
sare homes,0.5,sector 92,4237.0,3,3,2,1.0,Relatively New,flat,1068.0,0,0,0,0,0,0,26
mapsko mount ville,1.55,sector 79,8539.0,3,4,3,11.0,Relatively New,flat,1416.0,0,1,0,0,0,2,152
independent,19.5,sector 2,27083.0,8,9,3+,2.0,New Property,house,7200.0,1,1,0,1,0,0,122
raheja revanta,4.75,sector 78,16885.0,3,3,2,31.0,Under Construction,flat,2813.0,0,1,0,0,0,0,100
dlf regency park,2.35,sector 28,13224.0,3,3,2,18.0,Old Property,flat,1608.0,0,1,0,0,0,0,120
antriksh heights,0.79,sector 84,4579.0,3,3,3+,8.0,New Property,flat,1561.0,0,0,0,0,0,0,24
emaar mgf emerald floors premier,2.36,sector 65,14303.0,3,3,3,0.0,Relatively New,flat,1493.0,1,1,0,0,0,2,159
parsvnath green ville,3.3,sector 48,9984.0,5,5,3+,4.0,Old Property,flat,3305.0,0,1,0,0,0,0,71
tata primanti,3.4,sector 72,15560.0,3,4,3+,9.0,Moderately Old,flat,2185.09,0,1,0,0,0,0,38
ats tourmaline,1.4,sector 109,8000.0,3,3,3+,9.0,Relatively New,flat,1584.0,0,0,0,0,0,0,95
orris aster court,0.69,sector 85,5221.0,2,2,2,5.0,Relatively New,flat,1075.0,0,0,0,0,0,0,37
vatika gurgaon,0.84,sector 83,6746.0,2,2,2,7.0,Moderately Old,flat,1127.0,0,0,0,0,0,2,157
antriksh heights,1.02,sector 84,4868.0,4,4,3+,11.0,Relatively New,flat,1896.0,0,1,0,1,0,0,99
nitin vihar,0.85,sector 33,9444.0,3,2,0,1.0,Relatively New,house,900.0,0,0,0,0,0,0,15
ss the leaf,2.15,sector 85,7645.0,4,5,3+,1.0,Relatively New,flat,2545.0,0,1,0,0,0,0,165
signature global solera,0.36,sector 107,5980.0,2,2,1,7.0,Relatively New,flat,598.0,0,0,0,0,1,0,49
palam vihar extension west zone rwa,0.35,sector 2,6481.0,2,2,0,1.0,New Property,house,600.0,0,0,0,0,0,0,0
