sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
52.0,5,6,3.0,0.0,1.0,5490.0,1,1,0,2.0,2.0,15.5
113.0,2,2,2.0,3.0,0.0,602.0,0,0,0,1.0,1.0,0.38
107.0,3,2,2.0,3.0,0.0,1325.0,0,0,0,2.0,2.0,0.7
6.0,3,3,3.0,3.0,0.0,1315.0,0,0,0,1.0,2.0,1.6
76.0,3,4,4.0,0.0,0.0,2200.11,1,0,2,2.0,1.0,3.98
78.0,2,2,2.0,3.0,0.0,1149.0,0,0,0,2.0,2.0,1.4
78.0,4,4,2.0,1.0,1.0,2700.0,0,0,2,2.0,2.0,1.83
45.0,2,2,3.0,0.0,0.0,1068.1,0,0,2,2.0,1.0,0.78
103.0,3,3,3.0,1.0,0.0,1288.0,0,0,0,2.0,2.0,1.25
49.0,2,4,3.0,0.0,1.0,640.0,0,0,0,1.0,1.0,0.75
111.0,3,5,3.0,3.0,0.0,1790.0,1,0,0,1.0,2.0,1.13
55.0,8,6,4.0,0.0,1.0,3240.0,1,0,2,1.0,2.0,8.81
81.0,2,4,2.0,0.0,1.0,1102.0,0,0,0,1.0,2.0,1.16
113.0,2,2,2.0,3.0,0.0,556.0,0,0,0,1.0,2.0,0.35
95.0,2,2,3.0,0.0,0.0,1150.0,0,0,0,2.0,1.0,0.67
19.0,3,3,3.0,3.0,0.0,2014.0,0,0,0,2.0,2.0,2.45
106.0,4,4,4.0,0.0,0.0,2139.0,1,0,0,2.0,0.0,1.65
65.0,3,3,3.0,0.0,0.0,2200.0,0,0,0,1.0,2.0,1.7
113.0,2,2,2.0,3.0,0.0,616.0,0,0,2,1.0,0.0,0.32
1.0,4,4,4.0,2.0,0.0,2013.0,1,0,0,2.0,2.0,1.5
11.0,3,2,2.0,3.0,0.0,850.0,0,0,0,1.0,2.0,0.5
6.0,3,3,3.0,3.0,0.0,1531.0,0,0,0,2.0,1.0,1.76
56.0,3,3,4.0,0.0,0.0,2199.0,1,0,2,2.0,2.0,1.86
59.0,2,2,2.0,0.0,0.0,1330.0,0,0,1,0.0,0.0,1.14
99.0,4,5,4.0,3.0,0.0,2390.0,1,0,0,0.0,2.0,2.2
11.0,2,2,2.0,1.0,0.0,615.0,0,0,0,1.0,2.0,0.37
57.0,3,4,3.0,3.0,0.0,2060.0,0,0,2,1.0,2.0,2.55
111.0,2,1,0.0,1.0,0.0,500.0,0,0,0,1.0,0.0,0.3
46.0,3,3,3.0,3.0,0.0,1711.0,0,0,0,2.0,2.0,1.45
83.0,2,2,2.0,3.0,0.0,1262.0,0,0,0,1.0,0.0,1.4
107.0,3,3,2.0,3.0,0.0,1068.0,0,0,0,1.0,1.0,0.5
91.0,3,4,3.0,3.0,0.0,1416.0,1,0,2,0.0,0.0,1.55
27.0,8,9,4.0,1.0,1.0,7200.0,1,0,0,2.0,1.0,19.5
90.0,3,3,2.0,4.0,0.0,2813.0,1,0,0,2.0,0.0,4.75
35.0,3,3,2.0,2.0,0.0,1608.0,1,0,0,2.0,0.0,2.35
98.0,3,3,4.0,1.0,0.0,1561.0,0,0,0,1.0,2.0,0.79
75.0,3,3,3.0,3.0,0.0,1493.0,1,0,2,0.0,1.0,2.36
56.0,5,5,4.0,2.0,0.0,3305.0,1,0,0,2.0,2.0,3.3
85.0,3,4,4.0,0.0,0.0,2185.09,1,0,0,1.0,2.0,3.4
13.0,3,3,4.0,3.0,0.0,1584.0,0,0,0,2.0,2.0,1.4
99.0,2,2,2.0,3.0,0.0,1075.0,0,0,0,1.0,2.0,0.69
97.0,2,2,2.0,0.0,0.0,1127.0,0,0,2,0.0,2.0,0.84
98.0,4,4,4.0,3.0,0.0,1896.0,1,0,0,2.0,0.0,1.02
41.0,3,2,0.0,3.0,1.0,900.0,0,0,0,1.0,1.0,0.85
99.0,4,5,4.0,3.0,0.0,2545.0,1,0,0,0.0,1.0,2.15
11.0,2,2,1.0,3.0,0.0,598.0,0,0,0,1.0,2.0,0.36
27.0,2,2,0.0,1.0,1.0,600.0,0,0,0,1.0,1.0,0.35
91.0,2,2,0.0,3.0,0.0,1295.0,0,0,0,1.0,0.0,0.9
93.0,3,4,2.0,0.0,0.0,1922.0,1,0,0,2.0,2.0,1.4
3.0,2,2,2.0,3.0,0.0,1086.0,0,0,0,1.0,2.0,0.67
88.0,3,3,3.0,1.0,0.0,1774.0,1,0,0,2.0,1.0,1.08
109.0,2,2,3.0,1.0,0.0,713.0,0,0,0,2.0,2.0,0.8
72.0,4,6,3.0,3.0,0.0,3933.0,1,0,2,2.0,0.0,9.95
14.0,3,3,3.0,0.0,0.0,1833.0,0,0,0,1.0,1.0,1.1
100.0,3,3,1.0,3.0,0.0,1746.0,0,0,0,2.0,0.0,1.6
81.0,10,5,3.0,2.0,1.0,2700.0,1,0,0,1.0,1.0,2.4
77.0,3,4,4.0,0.0,0.0,1751.0,1,0,2,0.0,0.0,2.35
113.0,2,2,2.0,4.0,0.0,833.0,0,0,0,2.0,2.0,0.54
77.0,3,3,2.0,3.0,0.0,200.0,0,0,0,1.0,1.0,1.2
