price,sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
15.5,sector 43,5,6,3,Moderately Old,house,5490.0,1,1,0,Medium,Mid Floor
0.38,sohna road,2,2,2,Relatively New,flat,602.0,0,0,0,Low,Low Floor
0.7,sector 92,3,2,2,Relatively New,flat,1325.0,0,0,0,Medium,Mid Floor
1.6,sector 102,3,3,3,Relatively New,flat,1315.0,0,0,0,Low,Mid Floor
3.98,sector 66,3,4,3+,Moderately Old,flat,2200.11,1,0,2,Medium,Low Floor
1.4,sector 67a,2,2,2,Relatively New,flat,1149.0,0,0,0,Medium,Mid Floor
1.83,sector 67a,4,4,2,New Property,house,2700.0,0,0,2,Medium,Mid Floor
0.78,sector 37c,2,2,3,Moderately Old,flat,1068.1,0,0,2,Medium,Low Floor
1.25,sector 89,3,3,3,New Property,flat,1288.0,0,0,0,Medium,Mid Floor
0.75,sector 4,2,4,3,Moderately Old,house,640.0,0,0,0,Low,Low Floor
1.13,sector 99a,3,5,3,Relatively New,flat,1790.0,1,0,0,Low,Mid Floor
8.81,sector 47,8,6,3+,Moderately Old,house,3240.0,1,0,2,Low,Mid Floor
1.16,sector 7,2,4,2,Moderately Old,house,1102.0,0,0,0,Low,Mid Floor
0.35,sohna road,2,2,2,Relatively New,flat,556.0,0,0,0,Low,Mid Floor
0.67,sector 82,2,2,3,Moderately Old,flat,1150.0,0,0,0,Medium,Low Floor
2.45,sector 113,3,3,3,Relatively New,flat,2014.0,0,0,0,Medium,Mid Floor
1.65,sector 91,4,4,3+,Moderately Old,flat,2139.0,1,0,0,Medium,High Floor
1.7,sector 56,3,3,3,Moderately Old,flat,2200.0,0,0,0,Low,Mid Floor
0.32,sohna road,2,2,2,Relatively New,flat,616.0,0,0,2,Low,High Floor
1.5,gwal pahari,4,4,3+,Old Property,flat,2013.0,1,0,0,Medium,Mid Floor
0.5,sector 107,3,2,2,Relatively New,flat,850.0,0,0,0,Low,Mid Floor
1.76,sector 102,3,3,3,Relatively New,flat,1531.0,0,0,0,Medium,Low Floor
1.86,sector 48,3,3,3+,Moderately Old,flat,2199.0,1,0,2,Medium,Mid Floor
1.14,sector 50,2,2,2,Moderately Old,flat,1330.0,0,0,1,High,High Floor
2.2,sector 85,4,5,3+,Relatively New,flat,2390.0,1,0,0,High,Mid Floor
0.37,sector 107,2,2,2,New Property,flat,615.0,0,0,0,Low,Mid Floor
2.55,sector 49,3,4,3,Relatively New,flat,2060.0,0,0,2,Low,Mid Floor
0.3,sector 99a,2,1,0,New Property,flat,500.0,0,0,0,Low,High Floor
1.45,sector 37d,3,3,3,Relatively New,flat,1711.0,0,0,0,Medium,Mid Floor
1.4,sector 70a,2,2,2,Relatively New,flat,1262.0,0,0,0,Low,High Floor
0.5,sector 92,3,3,2,Relatively New,flat,1068.0,0,0,0,Low,Low Floor
1.55,sector 79,3,4,3,Relatively New,flat,1416.0,1,0,2,High,High Floor
19.5,sector 2,8,9,3+,New Property,house,7200.0,1,0,0,Medium,Low Floor
4.75,sector 78,3,3,2,Under Construction,flat,2813.0,1,0,0,Medium,High Floor
2.35,sector 28,3,3,2,Old Property,flat,1608.0,1,0,0,Medium,High Floor
0.79,sector 84,3,3,3+,New Property,flat,1561.0,0,0,0,Low,Mid Floor
2.36,sector 65,3,3,3,Relatively New,flat,1493.0,1,0,2,High,Low Floor
